Music_id,Music_title,Music_artist,Grade
30567963,Havana (Feat. Young Thug),Camila Cabello,29.749999999999996
4153481,Love Love Love,로이킴,29.4
30021731,나만 알고 싶다,소란 (SORAN),29.049999999999997
5466962,스토커,10cm,28.874999999999996
3759735,살빼지 마요,소란 (SORAN),28.7
4285745,리코타 치즈 샐러드,소란 (SORAN),28.525
1944399,Timeless,SG 워너비,28.0
4660794,I`m Not The Only One,Sam Smith,27.825
3894276,오래된 노래,스탠딩 에그,27.474999999999998
30689468,결혼,문문 (MoonMoon),27.299999999999997
30000525,너를 보네 (Feat. 권정열 Of 10cm),소란 (SORAN),26.775
8124376,7 Years,Lukas Graham,26.424999999999997
5406680,영원한 건 없지만,로이킴,26.25
4451155,겨울을 걷는다,윤딴딴,25.9
711627,죄와벌,SG 워너비,25.724999999999998
3972199,스쳐간다,로이킴,25.375
30657307,썸 탈꺼야,볼빨간사춘기,25.2
30611680,폰서트,10cm,25.025
7847510,통근버스,9 (9와 숫자들),24.674999999999997
8124417,봄이 좋냐??,10cm,24.15
30859584,사랑을 했다 (LOVE SCENARIO),iKON,23.974999999999998
4091105,봄봄봄,로이킴,23.625
3992620,Creep,"로이킴, 정준영",23.275
3833288,앵콜요청금지,브로콜리너마저,23.099999999999998
30399360,미치고 싶다,한동근,22.4
5495296,사랑에 빠지고 싶다,정승환,22.224999999999998
4583481,Give Love,악동뮤지션,22.049999999999997
30688990,그 사람을 아나요,임창정,21.7
30657308,Blue,볼빨간사춘기,21.525
8033528,어디에도,엠씨더맥스,20.825
732512,겁쟁이,버즈,20.65
686643,내가 너의 곁에 잠시 살았다는 걸,김범수,20.474999999999998
4582959,인연,"윤민수, 신용재 (포맨)",20.125
4512170,흔한 노래,임창정,19.95
3526967,안아줘요,10cm,19.775
30657311,나의 사춘기에게,볼빨간사춘기,19.599999999999998
30314784,밤편지,아이유,19.25
315872,잠시만 안녕 (Original),엠씨더맥스,18.2
31034284,No Tears Left To Cry,Ariana Grande,17.849999999999998
31006730,What is Love?,TWICE (트와이스),17.674999999999997
30536155,DINOSAUR,악동뮤지션,17.5
